PLAYER,TEAM,MIN
Amir Coffey,LAC,1567.4
Oshae Brissett,IND,1564.0
Mitchell Robinson,NYK,1848.4
LaMarcus Aldridge,BKN,1050.1
Robert Williams III,BOS,1804.3
Chuma Okeke,ORL,1748.8
Robert Covington,LAC,1939.5
Grant Williams,BOS,1875.1
Tim Hardaway Jr.,DAL,1245.0
Talen Horton-Tucker,LAL,1511.0
Gabe Vincent,MIA,1588.9
Dillon Brooks,MEM,885.0
Isaiah Stewart,DET,1815.6
Isaac Okoro,CLE,1980.9
Josh Christopher,HOU,1333.7
Reggie Bullock,DAL,1901.8
Andre Drummond,BKN,1436.8
Doug McDermott,SAS,1223.2
Landry Shamet,PHX,1437.4
Cam Thomas,BKN,1176.1
Royce O'Neale,UTA,2405.5
Jalen Suggs,ORL,1306.7
Moritz Wagner,ORL,959.5
Isaiah Hartenstein,LAC,1215.8
Frank Jackson,DET,1164.0
Caleb Martin,MIA,1372.2
Drew Eubanks,POR,1244.6
Cody Martin,CHA,1865.6
Marvin Bagley III,DET,1146.1
Myles Turner,IND,1234.7
P.J. Tucker,MIA,1980.8
Chimezie Metu,SAC,1278.7
Eric Bledsoe,POR,1360.6
Hassan Whiteside,UTA,1162.2
Patrick Beverley,MIN,1475.7
Steven Adams,MEM,1998.6
Jaylen Nowell,MIN,974.8
Raul Neto,WAS,1372.0
Cory Joseph,DET,1599.8
Kyle Anderson,MEM,1483.7
Torrey Craig,PHX,1595.8
Otto Porter Jr.,GSW,1395.5
Jarred Vanderbilt,MIN,1880.5
Furkan Korkmaz,PHI,1413.8
Gary Payton II,GSW,1247.7
Taurean Prince,MIN,1176.7
Ziaire Williams,MEM,1346.5
Cam Reddish,NYK,1012.3
Kevon Looney,GSW,1732.3
Nicolas Batum,LAC,1462.6
R.J. Hampton,ORL,1402.3
Jordan Nwora,MIL,1185.3
Mason Plumlee,CHA,1792.5
Rui Hachimura,WAS,943.5
Duane Washington Jr.,IND,968.0
Jalen Smith,IND,924.2
Javonte Green,CHI,1519.0
Richaun Holmes,SAC,1074.1
Damion Lee,GSW,1256.5
Aleksej Pokusevski,OKC,1232.7
Lonzo Ball,CHI,1212.3
Damian Jones,SAC,1016.6
Isaiah Roby,OKC,948.4
Killian Hayes,DET,1647.0
Willy Hernangomez,NOP,839.0
Shake Milton,PHI,1179.4
Rudy Gay,UTA,1038.2
Ricky Rubio,IND,970.1
Austin Reaves,LAL,1417.7
Payton Pritchard,BOS,1001.0
Nemanja Bjelica,GSW,1142.4
JaMychal Green,DEN,1085.4
Kemba Walker,NYK,947.7
DeMarcus Cousins,DEN,717.2
Dewayne Dedmon,MIA,1065.2
Aaron Wiggins,OKC,1208.8
Tre Jones,SAS,1148.1
Maxi Kleber,DAL,1449.9
Ish Smith,WAS,1126.0
Jeremy Lamb,SAC,935.4
Nassir Little,POR,1088.4
Nic Claxton,BKN,974.1
Austin Rivers,DEN,1479.9
Aaron Holiday,PHX,1020.8
Avery Bradley,LAL,1405.9
Onyeka Okongwu,ATL,992.1
Daniel Theis,BOS,977.4
Lance Stephenson,IND,814.0
Lamar Stevens,CLE,1014.9
Donte DiVincenzo,SAC,1005.4
Matisse Thybulle,PHI,1685.3
Dwight Howard,LAL,970.7
Danny Green,PHI,1353.4
Jeremiah Robinson-Earl,OKC,1087.1
Kelly Olynyk,DET,763.7
Serge Ibaka,MIL,877.6
Trendon Watford,POR,869.3
Kenrich Williams,OKC,1072.3
Theo Maledon,OKC,908.2
Blake Griffin,BKN,958.1
Lou Williams,ATL,798.9
Goga Bitadze,IND,728.9
John Konchar,MEM,1291.5
Draymond Green,GSW,1329.0
Mike Muscala,OKC,592.5
Tristan Thompson,CHI,896.2
Brandon Boston,LAC,760.2
Delon Wright,ATL,1452.5
Jalen McDaniels,CHA,895.2
James Johnson,BKN,1191.2
Ty Jerome,OKC,801.1
CJ Elleby,POR,1174.4
Keita Bates-Diop,SAS,956.5
Eric Paschall,UTA,736.5
George Hill,MIL,1253.2
Trey Murphy III,NOP,863.6
Facundo Campazzo,DEN,1184.0
Jose Alvarado,NOP,833.9
Josh Jackson,SAC,829.9
Joe Ingles,POR,1122.1
Thaddeus Young,TOR,845.2
Larry Nance Jr.,NOP,1040.1
Stanley Johnson,LAL,1094.4
Josh Green,DAL,1039.0
Terry Taylor,IND,713.8
Naji Marshall,NOP,735.6
Davis Bertans,DAL,806.3
Derrick Rose,NYK,635.9
Terence Davis,SAC,536.3
Brandon Williams,POR,639.7
Garrett Temple,NOP,1098.4
Alex Caruso,CHI,1146.8
Omer Yurtseven,MIA,706.2
Juan Toscano-Anderson,GSW,994.1
Isaiah Jackson,IND,541.0
D.J. Augustin,LAL,883.2
Armoni Brooks,TOR,843.8
Joshua Primo,SAS,965.0
Wayne Ellington,LAL,810.2
Derrick Jones Jr.,CHI,899.4
DeAndre' Bembry,MIL,1026.0
Kessler Edwards,BKN,987.2
Troy Brown Jr.,CHI,1054.7
Jevon Carter,MIL,905.2
Quentin Grimes,NYK,786.2
Justise Winslow,POR,774.7
Rodney McGruder,DET,754.1
Zeke Nnaji,DEN,697.6
Dean Wade,CLE,980.2
Keon Johnson,POR,696.2
Jock Landale,SAS,588.7
Svi Mykhailiuk,TOR,716.1
Robin Lopez,ORL,611.9
Xavier Tillman,MEM,700.5
Wesley Matthews,MIL,1002.2
Danuel House Jr.,UTA,727.0
Khem Birch,TOR,991.2
Frank Ntilikina,DAL,684.7
Alex Len,SAC,620.2
David Nwaba,HOU,608.9
Jordan McLaughlin,MIN,901.6
T.J. McConnell,IND,652.1
Taj Gibson,NYK,945.7
Moses Moody,GSW,607.1
Timothe Luwawu-Cabarrot,ATL,684.8
Greg Brown III,POR,639.8
Romeo Langford,SAS,770.9
Zach Collins,SAS,502.0
Maurice Harkless,SAC,863.5
Trey Burke,DAL,441.2
Bismack Biyombo,PHX,505.9
Ignas Brazdeikis,ORL,535.6
Davon Reed,DEN,667.9
Saben Lee,DET,603.7
DeAndre Jordan,PHI,622.4
Dennis Smith Jr.,POR,638.5
Derrick Favors,OKC,652.5
Dalano Banton,TOR,695.7
Thomas Bryant,WAS,439.1
Lindy Waters III,OKC,465.3
Day'Ron Sharpe,BKN,390.7
Isaiah Joe,PHI,609.5
Tomas Satoransky,WAS,906.0
Aaron Nesmith,BOS,573.9
Markelle Fultz,ORL,359.7
Trent Forrest,UTA,765.5
Malachi Flynn,TOR,537.1
Tony Snell,NOP,822.5
Vit Krejci,OKC,689.9
Luka Garza,DET,389.0
Rajon Rondo,CLE,697.9
Isaiah Thomas,CHA,333.3
Anthony Gill,WAS,463.4
Keifer Sykes,IND,566.4
Collin Sexton,CLE,316.4
Brandon Goodwin,CLE,501.5
Kelan Martin,BOS,449.7
Moses Brown,CLE,344.3
Thanasis Antetokounmpo,MIL,473.3
